A. 业务细分年度汇总—全业务,,,,,,,,,,
📌 segment_code(8个); 2026批核=生效+issue_year=2026; 合计行达成率=合计批核APE÷合计目标APE,,,,,,,,,,
业务细分,目标APE,达成率,2026批核APE,批核件数,未批核APE,未批核件数,待签APE,待签件数,合计APE,合计件数
万城保险,0,0,0,4,3,4,2,4,1,0,18
臻略财富,1,2,4,0,1,1,6,12,1,0,28
德方集团,4,1,0,1,0,0,0,0,0,0,6
龙腾财富,2,1,0,0,1,0,2,1,0,0,7
晋誉财富,6,0,0,0,0,0,0,0,0,0,6
卓樾会,3,0,0,0,0,0,0,0,0,0,3
富仕德,0,0,0,0,0,2,2,1,0,0,5
太富,1,0,0,0,0,0,0,0,0,0,1
裕承资产,0,0,0,0,1,0,0,2,0,0,3
巨蚁环球,0,0,0,0,0,0,1,1,0,0,2
动力势能,0,0,0,0,0,1,0,0,0,0,1
共享经纪,1,0,0,0,1,1,0,1,0,0,4
钜诚保险,1,0,0,0,1,0,0,0,0,0,2
众安国际,1,0,0,0,0,0,0,0,0,0,1
时代保险,1,0,0,0,0,0,0,0,0,0,1
香港宜达,0,1,0,0,0,0,0,0,0,0,1
合计,137,80,75,115,88,118,159,162,35,0,969

O. 银行业绩分析 | Bank Channel Analysis,,,,,,,,
📌 segment=BK业务；按2026批核APE降序,,,,,,,,
KEY ACCOUNT,2026批核APE,批核件数,未批核APE,未批核件数,待签APE,待签件数,总APE,总件数
民生银行,200151960,195,4290000,6,0,0,204441960,201
平安银行,48170655,32,25740000,22,7800000,5,81710655,59
浦发银行,0,0,780000,1,0,0,780000,1
合计,248322615,227,30810000,29,7800000,5,286932615,261

P-APE. 月度预约业绩—银行 (APE),,,,,,,,,,,
📌 res_ym；排除流失类；⭐ 按该表自身合计APE降序,,,,,,,,,,,
KEY ACCOUNT,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,合计
平安银行,6998160,3463200,4290000,3120000,2730000,5460000,11700000,13919295,10140000,0,61820655
民生银行,6864000,2340000,9750000,4212000,4134000,3424200,8190000,3900000,0,0,42814200
浦发银行,0,0,0,0,0,0,0,780000,0,0,780000
合计,13862160,5803200,14040000,7332000,6864000,8884200,19890000,18599295,10140000,0,105414855

P-件数. 月度预约业绩—银行 (件数),,,,,,,,,,,
📌 同P-APE；行顺序跟随APE子表,,,,,,,,,,,
KEY ACCOUNT,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,合计
平安银行,6,2,3,3,3,6,11,11,7,0,52
民生银行,11,5,17,9,7,10,13,8,0,0,80
浦发银行,0,0,0,0,0,0,0,1,0,0,1
合计,17,7,20,12,10,16,24,20,7,0,133

Q-APE. 月度签单业绩—银行 (APE),,,,,,,,,,,
📌 sign_ym；排除排期及流失；⭐ 按该表自身合计APE降序,,,,,,,,,,,
KEY ACCOUNT,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,合计
平安银行,10898160,3463200,5070000,2730000,3120000,5460000,5460000,17160000,5339295,0,58700655
民生银行,6240000,3354000,7410000,5772000,3744000,4594200,8190000,3900000,0,0,43204200
浦发银行,0,0,0,0,0,0,0,780000,0,0,780000
合计,17138160,6817200,12480000,8502000,6864000,10054200,13650000,21840000,5339295,0,102684855

Q-件数. 月度签单业绩—银行 (件数),,,,,,,,,,,
📌 同Q-APE；行顺序跟随APE子表,,,,,,,,,,,
KEY ACCOUNT,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,合计
平安银行,6,2,4,2,4,6,8,13,3,0,48
民生银行,10,7,12,12,6,13,13,8,0,0,81
浦发银行,0,0,0,0,0,0,0,1,0,0,1
合计,16,9,16,14,10,19,21,22,3,0,130

R-APE. 月度批核业绩—银行 (APE),,,,,,,,,,,
📌 issue_ym；仅生效；⭐ 按该表自身合计APE降序,,,,,,,,,,,
KEY ACCOUNT,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,合计
民生银行,12799800,84786000,44522400,25662000,14683560,3510000,4888260,7739940,1560000,0,200151960
平安银行,5460000,9154080,14177280,1560000,7020000,2730000,2340000,2730000,2999295,0,48170655
合计,18259800,93940080,58699680,27222000,21703560,6240000,7228260,10469940,4559295,0,248322615

R-件数. 月度批核业绩—银行 (件数),,,,,,,,,,,
📌 同R-APE；行顺序跟随APE子表,,,,,,,,,,,
KEY ACCOUNT,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,合计
民生银行,23,61,37,28,11,9,8,15,3,0,195
平安银行,2,6,5,2,5,4,4,3,1,0,32
合计,25,67,42,30,16,13,12,18,4,0,227

S-APE. 批核业绩—银行各分行 (APE),,,,,,,,,,,
📌 issue_ym；仅生效；行=partner；⭐ 按该表自身合计APE降序,,,,,,,,,,,
合作伙伴(分行),2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,合计
民生广州分行,780000,23790000,4680000,4680000,9379560,780000,0,0,390000,0,44479560
民生南京分行,2379000,18642000,780000,13026000,2028000,234000,780000,1170000,0,0,39039000
民生上海分行,4336800,7800000,13650000,2340000,780000,780000,390000,0,0,0,30076800
民生深圳分行,0,15600000,3120000,156000,0,0,0,0,0,0,18876000
民生北京分行,1404000,7800000,7004400,1170000,0,0,0,0,0,0,17378400
平安香港分行许菁,0,1950000,9360000,780000,0,780000,0,780000,2999295,0,16649295
平安香港分行徐艳,5460000,4680000,0,0,2730000,1170000,1560000,0,0,0,15600000
民生重庆分行,1170000,780000,3510000,2730000,1560000,390000,780000,2808000,0,0,13728000
民生杭州分行,0,1170000,5850000,0,0,0,0,390000,0,0,7410000
平安香港分行钟丽丽,0,2134080,4817280,0,0,0,0,0,0,0,6951360
民生香港分行梁驹团队,0,1404000,780000,0,780000,390000,2340000,0,0,0,5694000
民生合肥分行,1560000,0,0,0,0,624000,390000,1170000,780000,0,4524000
平安香港分行高凯,0,0,0,780000,3120000,0,0,0,0,0,3900000
平安香港分行王慧娟,0,0,0,0,0,780000,780000,1950000,0,0,3510000
民生嘉兴分行,0,1560000,1560000,0,0,0,0,0,0,0,3120000
民生温州分行,780000,1560000,468000,0,0,0,0,0,0,0,2808000
民生武汉分行,0,1560000,0,780000,0,0,0,0,0,0,2340000
民生贵阳分行,390000,0,1560000,0,0,0,0,0,0,0,1950000
民生上海分行张江支行,0,0,0,780000,0,0,208260,251940,390000,0,1630200
民生厦门分行,0,0,1560000,0,0,0,0,0,0,0,1560000
民生沈阳分行,0,1560000,0,0,0,0,0,0,0,0,1560000
民生泉州分行,0,1560000,0,0,0,0,0,0,0,0,1560000
民生郑州分行,0,0,0,0,0,0,0,1560000,0,0,1560000
平安香港分行朱慧娟,0,390000,0,0,780000,0,0,0,0,0,1170000
民生呼和浩特分行,0,0,0,0,0,312000,0,390000,0,0,702000
平安香港分行高原,0,0,0,0,390000,0,0,0,0,0,390000
民生昆明分行,0,0,0,0,156000,0,0,0,0,0,156000
平安香港,0,0,0,0,0,0,0,0,0,0,0
广发香港,0,0,0,0,0,0,0,0,0,0,0
民生上海,0,0,0,0,0,0,0,0,0,0,0
民生北京,0,0,0,0,0,0,0,0,0,0,0
民生南京,0,0,0,0,0,0,0,0,0,0,0
民生合肥,0,0,0,0,0,0,0,0,0,0,0
民生天津,0,0,0,0,0,0,0,0,0,0,0
民生广州,0,0,0,0,0,0,0,0,0,0,0
民生杭州,0,0,0,0,0,0,0,0,0,0,0
民生武汉,0,0,0,0,0,0,0,0,0,0,0
民生沈阳,0,0,0,0,0,0,0,0,0,0,0
民生深圳,0,0,0,0,0,0,0,0,0,0,0
民生温州,0,0,0,0,0,0,0,0,0,0,0
民生福州,0,0,0,0,0,0,0,0,0,0,0
民生贵阳,0,0,0,0,0,0,0,0,0,0,0
民生郑州,0,0,0,0,0,0,0,0,0,0,0
民生重庆,0,0,0,0,0,0,0,0,0,0,0
民生香港,0,0,0,0,0,0,0,0,0,0,0
民生宁波,0,0,0,0,0,0,0,0,0,0,0
民生石家庄,0,0,0,0,0,0,0,0,0,0,0
平安香港分行王鑫,0,0,0,0,0,0,0,0,0,0,0
平安香港分行王蕊,0,0,0,0,0,0,0,0,0,0,0
平安香港分行王士玉,0,0,0,0,0,0,0,0,0,0,0
浦发香港分行,0,0,0,0,0,0,0,0,0,0,0
合计,18259800,93940080,58699680,27222000,21703560,6240000,7228260,10469940,4559295,0,248322615

T-件数. 批核业绩—银行各分行 (件数),,,,,,,,,,,
📌 同S-APE；行顺序跟随S-APE,,,,,,,,,,,
合作伙伴(分行),2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,合计
民生广州分行,1,11,6,3,3,1,0,0,1,0,26
民生南京分行,5,16,1,13,3,1,2,3,0,0,44
民生上海分行,8,7,9,4,1,2,1,0,0,0,32
民生深圳分行,0,10,2,1,0,0,0,0,0,0,13
民生北京分行,4,7,7,2,0,0,0,0,0,0,20
平安香港分行许菁,0,3,3,1,0,2,0,1,1,0,11
平安香港分行徐艳,2,1,0,0,2,1,3,0,0,0,9
民生重庆分行,2,1,3,3,1,1,1,5,0,0,17
民生杭州分行,0,2,4,0,0,0,0,1,0,0,7
平安香港分行钟丽丽,0,1,2,0,0,0,0,0,0,0,3
民生香港分行梁驹团队,0,2,1,0,2,1,2,0,0,0,8
民生合肥分行,1,0,0,0,0,1,1,2,1,0,6
平安香港分行高凯,0,0,0,1,1,0,0,0,0,0,2
平安香港分行王慧娟,0,0,0,0,0,1,1,2,0,0,4
民生嘉兴分行,0,1,1,0,0,0,0,0,0,0,2
民生温州分行,1,1,1,0,0,0,0,0,0,0,3
民生武汉分行,0,1,0,1,0,0,0,0,0,0,2
民生贵阳分行,1,0,1,0,0,0,0,0,0,0,2
民生上海分行张江支行,0,0,0,1,0,0,1,1,1,0,4
民生厦门分行,0,0,1,0,0,0,0,0,0,0,1
民生沈阳分行,0,1,0,0,0,0,0,0,0,0,1
民生泉州分行,0,1,0,0,0,0,0,0,0,0,1
民生郑州分行,0,0,0,0,0,0,0,2,0,0,2
平安香港分行朱慧娟,0,1,0,0,1,0,0,0,0,0,2
民生呼和浩特分行,0,0,0,0,0,2,0,1,0,0,3
平安香港分行高原,0,0,0,0,1,0,0,0,0,0,1
民生昆明分行,0,0,0,0,1,0,0,0,0,0,1
平安香港,0,0,0,0,0,0,0,0,0,0,0
广发香港,0,0,0,0,0,0,0,0,0,0,0
民生上海,0,0,0,0,0,0,0,0,0,0,0
民生北京,0,0,0,0,0,0,0,0,0,0,0
民生南京,0,0,0,0,0,0,0,0,0,0,0
民生合肥,0,0,0,0,0,0,0,0,0,0,0
民生天津,0,0,0,0,0,0,0,0,0,0,0
民生广州,0,0,0,0,0,0,0,0,0,0,0
民生杭州,0,0,0,0,0,0,0,0,0,0,0
民生武汉,0,0,0,0,0,0,0,0,0,0,0
民生沈阳,0,0,0,0,0,0,0,0,0,0,0
民生深圳,0,0,0,0,0,0,0,0,0,0,0
民生温州,0,0,0,0,0,0,0,0,0,0,0
民生福州,0,0,0,0,0,0,0,0,0,0,0
民生贵阳,0,0,0,0,0,0,0,0,0,0,0
民生郑州,0,0,0,0,0,0,0,0,0,0,0
民生重庆,0,0,0,0,0,0,0,0,0,0,0
民生香港,0,0,0,0,0,0,0,0,0,0,0
民生宁波,0,0,0,0,0,0,0,0,0,0,0
民生石家庄,0,0,0,0,0,0,0,0,0,0,0
平安香港分行王鑫,0,0,0,0,0,0,0,0,0,0,0
平安香港分行王蕊,0,0,0,0,0,0,0,0,0,0,0
平安香港分行王士玉,0,0,0,0,0,0,0,0,0,0,0
浦发香港分行,0,0,0,0,0,0,0,0,0,0,0
合计,25,67,42,30,16,13,12,18,4,0,227

